"revenue","genre","year","runtime","rating","vote_count","popularity","High_Revenue"
547070,"音乐",2025,80,0,0,0.6712,"Non_High_Revenue"
87968080,"科幻",2025,130,7.3,4714,30.0764,"High_Revenue"
21675,"剧情",2025,111,6.766,47,1.2759,"Non_High_Revenue"
5619180,"音乐",2025,135,0,0,0.1963,"High_Revenue"
984518,"剧情",2025,115,6.8,79,2.0223,"Non_High_Revenue"
252370,"喜剧",2025,100,8.8,5,1.1412,"Non_High_Revenue"
178319,"剧情",2025,112,7.179,14,1.0728,"Non_High_Revenue"
12020,"恐怖",2025,90,6.3,9,0.6413,"Non_High_Revenue"
6915,"剧情",2025,111,6.766,47,1.2759,"Non_High_Revenue"
36777472,"冒险",2025,98,6.916,965,11.3991,"High_Revenue"
299255311,"科幻",2025,134,6.268,3296,31.039,"High_Revenue"
319478,"剧情",2025,114,8.143,14,1.1071,"Non_High_Revenue"
12376095,"动作",2025,120,7.202,1299,11.7245,"High_Revenue"
772246,"动作",2025,95,5.639,396,5.1118,"Non_High_Revenue"
541545,"剧情",2025,128,8,2,0.4925,"Non_High_Revenue"
505106,"纪录",2025,0,7,1,0.1271,"Non_High_Revenue"
300613,"剧情",2025,113,7.3,57,0.5916,"Non_High_Revenue"
238901,"喜剧",2025,118,8,1,1.0031,"Non_High_Revenue"
80890,"音乐",2025,54,7.739,23,0.6917,"Non_High_Revenue"
74937,"剧情",2025,0,10,1,0.5663,"Non_High_Revenue"
36307,"剧情",2025,91,6,1,0.162,"Non_High_Revenue"
215425939,"动画",2025,109,7.26,52,6.1427,"High_Revenue"
573815633,"动作",2025,156,7.8,3872,42.4148,"High_Revenue"
3460729,"动作",2025,120,7.036,55,2.6463,"Non_High_Revenue"
1738766,"动作",2025,105,5.596,182,3.7728,"Non_High_Revenue"
1552938,"纪录",2025,0,0,0,0.0696,"Non_High_Revenue"
1208438,"恐怖",2025,98,5.9,269,4.442,"Non_High_Revenue"
335711,"动作",2025,123,7,9,3.5356,"Non_High_Revenue"
94681,"剧情",2025,126,5.342,57,0.662,"Non_High_Revenue"
20830146,"恐怖",2025,115,6.613,2500,14.7911,"High_Revenue"
1378225,"剧情",2025,102,6.3,12,1.6819,"Non_High_Revenue"
27260,"纪录",2025,114,7,1,0.0915,"Non_High_Revenue"
37774413,"纪录",2025,85,9,5,0.2578,"High_Revenue"
36257138,"纪录",2025,0,0,0,0.3431,"High_Revenue"
1579644,"喜剧",2025,127,7.25,16,17.405,"Non_High_Revenue"
720475,"纪录",2025,62,7.2,8,0.2623,"Non_High_Revenue"
207461,"喜剧",2025,95,0,0,0.2713,"Non_High_Revenue"
2680104,"恐怖",2025,98,6.4,551,6.803,"Non_High_Revenue"
132120779,"奇幻",2025,125,7.929,2785,24.0635,"High_Revenue"
1004919,"喜剧",2025,0,8.7,3,2.4967,"Non_High_Revenue"
29500,"剧情",2025,97,5.7,10,0.3214,"Non_High_Revenue"
77243356,"动作",2025,125,7.234,2563,21.0362,"High_Revenue"
29529327,"恐怖",2025,0,4.5,2,0.9669,"High_Revenue"
2635163,"喜剧",2025,102,6.494,891,7.2101,"Non_High_Revenue"
1404825,"剧情",2025,98,7.046,2595,3.6745,"Non_High_Revenue"
1320255,"喜剧",2025,87,3.5,2,0.6377,"Non_High_Revenue"
1268952,"恐怖",2025,101,0,0,0.1363,"Non_High_Revenue"
759895,"动作",2025,94,6.994,1179,10.6897,"Non_High_Revenue"
659125,"冒险",2025,98,5.845,110,0.949,"Non_High_Revenue"
161607,"恐怖",2025,87,5.434,38,1.2544,"Non_High_Revenue"
19876361,"动画",2025,93,7.92,25,1.373,"High_Revenue"
